transaction_id,user_id,account_id,category_id,transaction_date,amount,running_balance,transaction_type,merchant_name,description
90cbdc4e-6250-4b9d-a440-ef5a355386f3,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,cb9de190-0f74-428e-8625-7eec9fa25043,2026-01-02,42579.48,7260868.72,expense,Real Estate,Property investment
4b3d0ea5-48bb-4704-b7da-1688124fcd8a,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,afb11444-5eb7-49e4-adb0-6e90808b3f69,2026-01-20,69008.53,5526155.85,expense,SBI,Service charge
4bbae40b-fa8e-4563-8f39-ca9fcad064e0,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,baf0d272-8682-41c0-acfb-c78f1f2cd9a1,2026-01-19,11250.18,5705446.83,expense,Vijay Sales,Appliance
97d3f260-58e6-4423-9cf2-c331554f01a1,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,c0dc12cb-88e5-4dc8-8021-515d891badbe,2026-01-22,65847.06,5275837.79,expense,Investments,Investments payment
76a0a265-6a6b-4e7b-bedf-416a44362487,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,cb9de190-0f74-428e-8625-7eec9fa25043,2026-01-07,25977.19,6828448.23,expense,Housing.com,Property purchase down payment
fb643c43-97fb-47d3-9a54-584707c36fe8,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,59617cc5-9fa4-4d85-9493-ae0690ce3405,2026-01-22,72629.22,5164445.15,expense,Local Garage,Repair work
1a9e1501-d865-496e-8672-29b330777055,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,4349d060-5a14-49ee-8130-067e37e5c987,2026-01-01,79874.52,7472661.58,expense,Bounce,Scooter rental
ed698d7f-c33e-413a-9a68-b4d4b5d34c3f,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,9cc575a8-fc65-4f4a-abf5-8594a4d342a0,2026-01-17,16708.08,5805762.58,expense,Amazon,Tech accessories
9d09d1e0-5006-4b38-827b-6fd3afb8e2dc,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,a0f82fa6-1252-4e6c-8a29-a1761d72d10c,2026-01-29,10113.87,4220584.87,expense,Indian Railways,Train booking
3325d42b-cffb-41d1-8808-73ef721c2705,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,f9695d76-897b-4d1d-b699-30bdb8c3bd63,2026-01-27,98772.62,4591218.11,expense,Auto,Auto fare
