transaction_id,user_id,account_id,category_id,transaction_date,amount,running_balance,transaction_type,merchant_name,description
cc6a8cb6-3706-430c-b66a-39991c09798a,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,94943a15-5000-4909-864f-c229ccc559c2,2025-01-01,110,187710.13,expense,Pepperfry,Bedroom accessories
56957859-6d88-491f-9ce9-95482ea63bd3,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,8020f28e-d18c-4677-a747-5497f031a5d2,2025-01-01,140,187570.13,expense,Naturals Salon,Haircut
d84195bb-ee83-4256-a35a-48ae99564068,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,0d3983fc-2dc6-40e8-898b-3e446f9ffcb2,2025-01-03,56500,244070.13,income,Company Payroll,Monthly salary credit
eed64b1a-59f2-4e48-8f97-2805d65886f1,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,773ee99e-f4ff-4162-87c7-19387a9ebb97,2025-01-03,180,243890.13,expense,Mainland China,Dinner with family
f49b7542-d554-4084-b9fb-de3348e7a1cc,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,43dc3332-707c-42c3-b0d9-0f067489a82d,2025-01-04,470,243420.13,expense,Indian Oil,Fuel refill
1b20c670-8fc7-4820-8200-4524acc9c109,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,afb11444-5eb7-49e4-adb0-6e90808b3f69,2025-01-04,130,243290.13,expense,ICICI Bank,Bank charges
0d9938d8-e2b2-4cf8-a695-a191d2a5fad6,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,248ccf02-2fad-4a57-8831-52e79f698e4c,2025-01-04,290,243000.13,expense,Delhi Metro,Bus pass top-up
85301d75-d00c-4d86-a886-16c3104a4921,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,02b93640-5ea9-4023-9ca5-12aaa253ea5b,2025-01-05,260,242740.13,expense,Airtel Xstream,Monthly broadband bill
af72bfa0-cfb5-4945-8564-4365f0f3c506,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,43dc3332-707c-42c3-b0d9-0f067489a82d,2025-01-05,160,242580.13,expense,HPCL,Petrol
8b735118-a2a5-46f8-9446-446e1e6989d0,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,2240f66e-6ba1-4bb3-9578-9f6dd6e71363,2025-01-06,230,242350.13,expense,IGL,Monthly gas bill
72883dcd-7ac4-4b3e-ba4b-bc38c193de4f,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,76b12465-5eec-4e07-98cb-43137e404dcd,2025-01-06,2200,240150.13,expense,Coursera,Training program
37af9b47-7390-488f-ab0e-390cf5122dce,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,f89d39f0-2919-467d-9eae-73947cd92572,2025-01-06,30,240120.13,expense,KFC,Evening snack
912b89bd-1dff-4ba2-9091-b26f58757c90,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,2240f66e-6ba1-4bb3-9578-9f6dd6e71363,2025-01-07,200,239920.13,expense,Atria Gas,Water bill
d9008e27-5647-4f5c-90e9-1a5685b340e7,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,08661166-7a9f-4744-8d50-d84bca0b6ebc,2025-01-07,50,239870.13,expense,Sports Authority,Sports equipment
8ad72da9-eb85-4437-ae02-5968faa9f84d,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,02b93640-5ea9-4023-9ca5-12aaa253ea5b,2025-01-08,650,239220.13,expense,Airtel Xstream,Monthly broadband bill
57dcb588-f8ec-4af1-a563-a445721c6cfe,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,352e3807-c4b8-4f2f-b4a0-11f0a676a889,2025-01-08,60,239160.13,expense,JioMart,Weekly provisions
6b9f5047-7782-4b13-bec3-f711aa468c5c,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,3e870dc4-9bcb-4d85-a0ed-817b2217e50b,2025-01-09,4900,234260.13,expense,Bajaj Finserv,Car loan EMI
558c6006-b0d3-4bd1-96ad-c3d7de438574,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,1936a4f4-2484-487e-9de0-bd4773f631e7,2025-01-09,200,234060.13,expense,Vi,Postpaid bill
780d057f-3090-49ba-90d4-245a7a827fed,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,1936a4f4-2484-487e-9de0-bd4773f631e7,2025-01-10,550,233510.13,expense,Vi,Mobile recharge
50b36093-8790-43cf-aff9-406ff6c06485,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,c1794d38-04bb-436c-a349-b7efa2949d59,2025-01-11,350,233160.13,expense,YouTube Premium,Monthly subscription
70e2df68-bac4-4034-a5ad-774244d3cf8e,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,43dc3332-707c-42c3-b0d9-0f067489a82d,2025-01-12,260,232900.13,expense,BPCL,Fuel refill
a226829a-a93a-42fd-b84c-2c7a1985e8aa,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,02b93640-5ea9-4023-9ca5-12aaa253ea5b,2025-01-12,190,232710.13,expense,Airtel Xstream,Monthly broadband bill
1f7e03c9-a447-485a-8430-f00590c6b1af,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,4e6141b4-8b08-4a48-92e3-00a3aed708d1,2025-01-13,2000,230710.13,expense,BESCOM,Monthly electricity bill
65a4fbe2-238e-4667-a7e7-e4bce257ae67,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,aa200b24-ef0e-410d-9a5e-5cd5e6eb5584,2025-01-14,4200,226510.13,expense,Electrician,Plumbing repair
e7d89185-4213-4fc1-b7c4-f066bf001164,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,1936a4f4-2484-487e-9de0-bd4773f631e7,2025-01-15,460,226050.13,expense,Jio,Mobile recharge
c0fe338c-7c40-47ae-b1c1-7bc5c83bbea5,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,68662b1b-9e19-427c-8a6f-0dea71240479,2025-01-18,170,225880.13,expense,App Store,Software license
980007a7-a2df-479a-9165-c642cf294366,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,482d3ee1-01c6-4f27-880c-5c2e86ff4326,2025-01-19,180,225700.13,expense,1mg,Medicine purchase
c1bced83-0462-4584-b283-30a9b5cd859b,0d3c63a6-9cfe-4228-8afa-ea6a26c13cb8,4c0315f4-0fbb-44a3-8e72-f4e7e2b96c4c,352e3807-c4b8-4f2f-b4a0-11f0a676a889,2025-01-20,240,225460.13,expense,BigBasket,Supermarket run
